deployment_id,tag_id,individual_id,animal_life_stage,attachment_type,deploy_off_timestamp,deploy_on_timestamp,deployment_end_comments,duty_cycle,deployment_local_identifier,study_site,sensor_type_ids,capture_location,deploy_on_location,deploy_off_location,death_comments,individual_local_identifier,sex,taxon_canonical_name,individual_number_of_deployments,mortality_location,tag_local_identifier,manufacturer_name,model,tag_number_of_deployments,study_id
3568311116,3568311048,3568311014,9 years,collar,2012-06-21T23:59:00Z,2010-05-28T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2829_Naboisho,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Naboisho,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2829,Lotek,WildCell GPS,1,208413731
3571504300,3568311049,3568311016,10 years,collar,2010-08-18T23:59:00Z,2010-05-28T00:00:00Z,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2830_Naiba,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",predated,Naiba,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2830,Lotek,WildCell GPS,1,208413731
3568311120,3568311050,3568311002,5 years,collar,2012-06-13T23:59:00Z,2010-05-26T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2831_Kayioni,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Kayioni,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2831,Lotek,WildCell GPS,1,208413731
3568311112,3568311051,3568311015,8 years,collar,2013-01-15T23:59:00Z,2010-05-27T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2832_Nagol,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Nagol,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2832,Lotek,WildCell GPS,1,208413731
3568311122,3568311052,3568311005,7 years,collar,2011-03-18T23:59:00Z,2010-05-28T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2833_Koyiaki,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Koyiaki,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2833,Lotek,WildCell GPS,1,208413731
3568311134,3568311053,3568311017,7 years,collar,2011-12-18T23:59:00Z,2010-05-30T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2834_Naisula,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Naisula,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2834,Lotek,WildCell GPS,1,208413731
3568311103,3568311054,3568311013,10 years,collar,2010-11-24T00:00:00Z,2010-05-26T00:00:00Z,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2835_Motorogi,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",predated,Motorogi,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2835,Lotek,WildCell GPS,1,208413731
3568311115,3568311055,3568311000,9 years,collar,2012-12-10T23:59:00Z,2010-05-30T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2836_Fifteen,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Fifteen,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2836,Lotek,WildCell GPS,1,208413731
3568311098,3568311056,3568311009,9 years,collar,2011-07-08T23:59:00Z,2010-10-11T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2837_Lempaash,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Lempaash,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2837,Lotek,WildCell GPS,1,208413731
3568311124,3568311057,3568311025,12 years,collar,2011-03-12T00:00:00Z,2010-05-29T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2838_Nkairowua,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Nkairowua,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2838,Lotek,WildCell GPS,1,208413731
3568311096,3568311058,3568311008,10 years,collar,2011-09-27T00:00:00Z,2010-05-26T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2839_Ledama,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Ledama,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2839,Lotek,WildCell GPS,1,208413731
3568311121,3568311059,3568311035,6 years,collar,2011-09-13T23:59:00Z,2010-10-15T00:00:00Z,"collar functioned properly, released automatically and was recovered",16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2840_Sotua,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Sotua,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2840,Lotek,WildCell GPS,1,208413731
3568311130,3568311060,3568311036,8 years,collar,2010-06-14T23:59:00Z,2010-05-29T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2841_Taletian,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Taletian,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2841,Lotek,WildCell GPS,1,208413731
3568311123,3568311061,3568311006,5 years,collar,2012-03-17T23:59:00Z,2010-10-15T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2842_Laingoni,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Laingoni,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2842,Lotek,WildCell GPS,1,208413731
3568311129,3568311062,3568311026,12 years,collar,2011-03-28T23:59:00Z,2010-05-27T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2843_Nkoko,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Nkoko,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2843,Lotek,WildCell GPS,1,208413731
3568311109,3568311063,3568311018,7 years,collar,2013-01-15T23:59:00Z,2010-05-27T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2844_Naserian,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Naserian,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2844,Lotek,WildCell GPS,1,208413731
3568311113,3568311064,3568311020,8 years,collar,2012-05-24T23:59:00Z,2010-05-29T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2845_Neatoo,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Neatoo,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2845,Lotek,WildCell GPS,1,208413731
3568311118,3568311065,3568311030,10 years,collar,2011-08-11T00:00:00Z,2010-05-25T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2846_Olope,Mara,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Olope,m,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",2846,Lotek,WildCell GPS,1,208413731
3568311136,3568311066,3568311029,9 years,collar,2010-12-25T23:59:00Z,2010-10-16T00:00:00Z,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30068_OleNagol,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",predated,Ole Nagol,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30068,Lotek,WildCell GPS,1,208413731
3568311117,3568311067,3568311033,10 years,collar,2012-10-08T00:00:00Z,2010-10-12T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30069_Reiyo,Amboseli Basin,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Reiyo,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30069,Lotek,WildCell GPS,1,208413731
3568311128,3568311068,3568311034,8 years,collar,2011-06-14T23:59:00Z,2010-10-20T00:00:00Z,poached,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30070_Sawani,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",poached,Sawani,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30070,Lotek,WildCell GPS,1,208413731
3568311119,3568311069,3568311032,9 years,collar,2013-01-11T23:59:00Z,2010-10-19T00:00:00Z,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),30071_Peria,Athi-Kaputiei Plains,gps,"c(capture_longitude = NA, capture_latitude = NA)","c(deploy_on_longitude = NA, deploy_on_latitude = NA)","c(deploy_off_longitude = NA, deploy_off_latitude = NA)",NA,Peria,f,Connochaetes taurinus,1,"c(mortality_longitude = NA, mortality_latitude = NA)",30071,Lotek,WildCell GPS,1,208413731
