,deployment_id,tag_id,individual_id,animal_life_stage,attachment_type,deploy_off_timestamp,deploy_on_timestamp,deployment_end_comments,duty_cycle,deployment_local_identifier,study_site,sensor_type_ids,death_comments,individual_local_identifier,sex,taxon_canonical_name,tag_local_identifier,manufacturer_name,model,study_id
1,3568311116,3568311048,3568311014,9 years,collar,6/21/2012 23:59,5/28/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2829_Naboisho,Mara,gps,NA,Naboisho,f,Connochaetes taurinus,2829,Lotek,WildCell GPS,208413731
2,3571504300,3568311049,3568311016,10 years,collar,8/18/2010 23:59,5/28/2010,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2830_Naiba,Mara,gps,predated,Naiba,f,Connochaetes taurinus,2830,Lotek,WildCell GPS,208413731
3,3568311120,3568311050,3568311002,5 years,collar,6/13/2012 23:59,5/26/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2831_Kayioni,Mara,gps,NA,Kayioni,m,Connochaetes taurinus,2831,Lotek,WildCell GPS,208413731
4,3568311112,3568311051,3568311015,8 years,collar,1/15/2013 23:59,5/27/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2832_Nagol,Mara,gps,NA,Nagol,f,Connochaetes taurinus,2832,Lotek,WildCell GPS,208413731
5,3568311122,3568311052,3568311005,7 years,collar,3/18/2011 23:59,5/28/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2833_Koyiaki,Mara,gps,NA,Koyiaki,f,Connochaetes taurinus,2833,Lotek,WildCell GPS,208413731
6,3568311134,3568311053,3568311017,7 years,collar,12/18/2011 23:59,5/30/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2834_Naisula,Mara,gps,NA,Naisula,f,Connochaetes taurinus,2834,Lotek,WildCell GPS,208413731
7,3568311103,3568311054,3568311013,10 years,collar,11/24/2010,5/26/2010,predated,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2835_Motorogi,Mara,gps,predated,Motorogi,f,Connochaetes taurinus,2835,Lotek,WildCell GPS,208413731
8,3568311115,3568311055,3568311000,9 years,collar,12/10/2012 23:59,5/30/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2836_Fifteen,Mara,gps,NA,Fifteen,m,Connochaetes taurinus,2836,Lotek,WildCell GPS,208413731
9,3568311098,3568311056,3568311009,9 years,collar,7/8/2011 23:59,10/11/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2837_Lempaash,Amboseli Basin,gps,NA,Lempaash,m,Connochaetes taurinus,2837,Lotek,WildCell GPS,208413731
10,3568311124,3568311057,3568311025,12 years,collar,3/12/2011,5/29/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2838_Nkairowua,Mara,gps,NA,Nkairowua,f,Connochaetes taurinus,2838,Lotek,WildCell GPS,208413731
11,3568311096,3568311058,3568311008,10 years,collar,9/27/2011,5/26/2010,fate unknown,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),2839_Ledama,Mara,gps,NA,Ledama,m,Connochaetes taurinus,2839,Lotek,WildCell GPS,208413731
