individual_local_identifier,tag_local_identifier,taxon_canonical_name,study_site,sex,age,deploy_off_timestamp,deploy_on_timestamp
Naboisho,2829,Connochaetes taurinus,Mara,f,9 years,6/21/2012 23:59,5/28/2010
Naiba,2830,Connochaetes taurinus,Mara,f,10 years,8/18/2010 23:59,5/28/2010
Kayioni,2831,Connochaetes taurinus,Mara,m,5 years,6/13/2012 23:59,5/26/2010
Nagol,2832,Connochaetes taurinus,Mara,f,8 years,1/15/2013 23:59,5/27/2010
Koyiaki,2833,Connochaetes taurinus,Mara,f,7 years,3/18/2011 23:59,5/28/2010
Naisula,2834,Connochaetes taurinus,Mara,f,7 years,12/18/2011 23:59,5/30/2010
Motorogi,2835,Connochaetes taurinus,Mara,f,10 years,11/24/2010,5/26/2010
Fifteen,2836,Connochaetes taurinus,Mara,m,9 years,12/10/2012 23:59,5/30/2010
Lempaash,2837,Connochaetes taurinus,Amboseli Basin,m,9 years,7/8/2011 23:59,10/11/2010
Nkairowua,2838,Connochaetes taurinus,Mara,f,12 years,3/12/2011,5/29/2010
Ledama,2839,Connochaetes taurinus,Mara,m,10 years,9/27/2011,5/26/2010
Sotua,2840,Connochaetes taurinus,Athi-Kaputiei Plains,m,6 years,9/13/2011 23:59,10/15/2010
Taletian,2841,Connochaetes taurinus,Mara,m,8 years,6/14/2010 23:59,5/29/2010
Laingoni,2842,Connochaetes taurinus,Athi-Kaputiei Plains,m,5 years,3/17/2012 23:59,10/15/2010
Nkoko,2843,Connochaetes taurinus,Mara,f,12 years,3/28/2011 23:59,5/27/2010
Naserian,2844,Connochaetes taurinus,Mara,f,7 years,1/15/2013 23:59,5/27/2010
Neatoo,2845,Connochaetes taurinus,Mara,f,8 years,5/24/2012 23:59,5/29/2010
Olope,2846,Connochaetes taurinus,Mara,m,10 years,8/11/2011,5/25/2010
Ole Nagol,30068,Connochaetes taurinus,Athi-Kaputiei Plains,f,9 years,12/25/2010 23:59,10/16/2010
Reiyo,30069,Connochaetes taurinus,Amboseli Basin,f,10 years,10/8/2012,10/12/2010
Sawani,30070,Connochaetes taurinus,Athi-Kaputiei Plains,f,8 years,6/14/2011 23:59,10/20/2010
Peria,30071,Connochaetes taurinus,Athi-Kaputiei Plains,f,9 years,1/11/2013 23:59,10/19/2010
Paita,30072,Connochaetes taurinus,Athi-Kaputiei Plains,f,9 years,10/19/2012,10/18/2010
Nentepesi,30073,Connochaetes taurinus,Amboseli Basin,f,7 years,1/15/2013 23:59,10/10/2010
Noontare,30074,Connochaetes taurinus,Athi-Kaputiei Plains,f,9 years,1/15/2013 23:59,10/16/2010
Nesimei,30075,Connochaetes taurinus,Amboseli Basin,f,6 years,4/7/2012,10/10/2010
Nenkitirua,30076,Connochaetes taurinus,Amboseli Basin,f,10 years,10/29/2012,10/11/2010
Ntishya,30077,Connochaetes taurinus,Athi-Kaputiei Plains,f,10 years,11/20/2012 23:59,10/19/2010
Nenkongu Narok,30078,Connochaetes taurinus,Amboseli Basin,f,10 years,2/16/2011 23:59,10/11/2010
Kikaya,30079,Connochaetes taurinus,Athi-Kaputiei Plains,f,9 years,10/17/2012 23:59,10/20/2010 21:01
Lerisa,30081,Connochaetes taurinus,Amboseli Basin,m,8 years,12/12/2010 23:59,10/10/2010
Kiranto,30082,Connochaetes taurinus,Athi-Kaputiei Plains,m,10 years,1/15/2013 23:59,10/17/2010
Leporana,30083,Connochaetes taurinus,Amboseli Basin,m,9 years,6/1/2011 23:59,10/12/2010
Karbolo,30084,Connochaetes taurinus,Athi-Kaputiei Plains,m,8 years,12/8/2011 23:59,10/19/2010
Lengaruani,30085,Connochaetes taurinus,Amboseli Basin,m,8 years,6/10/2012 23:59,10/11/2010
Ne Mpaash,30086,Connochaetes taurinus,Athi-Kaputiei Plains,m,10 years,2/5/2012,10/16/2010
